net,length_um
_07941_,364.52µm
_02845_,364.5µm
net367,364.03µm
_06248_,364.02µm
net55,363.8µm
_09131_,363.23µm
enc_block.block_w3_reg\[3\],362.925µm
_04734_,362.765µm
net627,362.67µm
_10997_,362.65µm
net10,360.9µm
net609,360.77µm
_02755_,360.545µm
_04052_,360.53µm
_09843_,360.46µm
_02542_,360.27µm
_07995_,360.14µm
net631,360.14µm
net305,359.8µm
_11723_,359.78µm
_07814_,359.58µm
_03325_,359.55µm
_11227_,359.51µm
enc_block.block_w1_reg\[2\],359.29µm
_07964_,359.14µm
_09916_,359.115µm
enc_block.block_w3_reg\[1\],358.96µm
_09837_,358.6µm
_02687_,358.545µm
net365,357.46µm
_02763_,357.34µm
_09241_,357.26µm
net241,357.16µm
_08245_,357.06µm
_09804_,356.31µm
net309,356.3µm
_09178_,356.27µm
_09789_,356.18µm
_02732_,356.03µm
net336,356.02µm
_03217_,355.67µm
_11869_,355.32µm
_08188_,355.19µm
net696,355.13µm
_08176_,354.09µm
_07850_,354.01µm
_02662_,353.81µm
_03775_,353.06µm
net427,352.96µm
net527,352.92µm
_05597_,352.89µm
_03601_,352.81µm
_04584_,352.58µm
_11236_,352.28µm
_11277_,351.74µm
_10733_,351.44µm
net3,351.43µm
_10680_,351.38µm
_09236_,351.3µm
net614,351.22µm
_03798_,350.37µm
_09163_,350.08µm
net525,349.55µm
_10534_,348.52µm
_07985_,348.35µm
net606,348.27µm
_04963_,348.21µm
_04164_,348.11µm
net426,347.9µm
_07957_,347.66µm
_02964_,347.5µm
_09762_,346.98µm
_09193_,346.74µm
_02880_,346.52µm
_03689_,346.14µm
_09861_,345.46µm
_07916_,345.04µm
_03736_,344.75µm
_07915_,344.725µm
_05803_,344.72µm
_08102_,344.66µm
_09177_,344.25µm
_09797_,344.21µm
net355,344µm
_02942_,343.63µm
net63,343.38µm
_08239_,343.36µm
net377,343.3µm
_07815_,343.28µm
net547,342.95µm
_11217_,342.6µm
_08195_,342.33µm
net45,341.8µm
net65,341.76µm
_11024_,341.67µm
_09145_,341.6µm
_11415_,341.55µm
_08004_,341.28µm
net47,340.9µm
net643,340.76µm
_04501_,340.67µm
_07283_,340.5µm
_09712_,340.46µm
_09851_,340.03µm
_03972_,339.95µm
_08180_,339.61µm
_07973_,339.535µm
dec_block.block_w2_reg\[14\],339.095µm
_02738_,338.42µm
_11395_,337.335µm
_04751_,336.92µm
net345,336.88µm
net278,336.67µm
_06146_,336.43µm
_09085_,336.42µm
_08238_,336.17µm
_09374_,335.47µm
_02758_,335.24µm
dec_block.block_w3_reg\[18\],335.16µm
_03600_,335µm
_03602_,334.46µm
_11168_,333.88µm
net323,333.78µm
_03818_,333.54µm
net64,333.14µm
_05986_,332.79µm
_04730_,332.49µm
_09156_,332.465µm
net66,332.34µm
net529,332.17µm
net273,331.725µm
net526,331.5µm
_02799_,331.44µm
_06861_,331.4µm
_04871_,330.88µm
_04015_,330.665µm
_08216_,329.91µm
net175,329.88µm
_07939_,329.72µm
_09078_,329.44µm
net407,329.34µm
_11575_,329.2µm
_04733_,329.12µm
_04754_,328.71µm
_09787_,328.39µm
_11230_,327.96µm
net297,327.86µm
_02789_,327.265µm
_03000_,327.23µm
_04891_,327.17µm
_04511_,327.14µm
keymem.prev_key1_reg\[21\],326.89µm
net68,326.88µm
net56,326.86µm
_03780_,326.64µm
net2,326.53µm
_09222_,325.92µm
net127,325.9µm
net98,325.5µm
_06026_,325.42µm
_04866_,325.4µm
dec_block.block_w2_reg\[18\],325.38µm
_03226_,325.305µm
net630,325.16µm
_09087_,324.975µm
_08496_,324.8µm
_06227_,323.98µm
_04850_,323.19µm
_09781_,323.14µm
net146,322.94µm
enc_block.block_w1_reg\[26\],322.51µm
enc_block.block_w1_reg\[23\],322.03µm
net381,321.85µm
net29,321.54µm
_07960_,321.51µm
_02842_,321.375µm
_03643_,320.28µm
_04875_,320.135µm
keymem.prev_key1_reg\[23\],319.77µm
_03260_,319.37µm
net12,319.3µm
dec_block.block_w2_reg\[15\],319.165µm
_08265_,318.945µm
_08169_,318.91µm
net531,318.62µm
keymem.prev_key1_reg\[18\],318.58µm
_04174_,318.26µm
net82,318.2µm
_10259_,317.92µm
_09832_,317.56µm
net275,317.3µm
net14,316.98µm
_03793_,316.62µm
_11298_,316.55µm
_05600_,316.26µm
net496,316.1µm
_02999_,315.86µm
keymem.prev_key1_reg\[16\],315.75µm
_09731_,315.73µm
_11880_,315.73µm
_03729_,315.72µm
_10593_,315.66µm
net337,315.65µm
_11394_,315.38µm
_11445_,314.56µm
net369,313.84µm
_03497_,313.55µm
_08205_,313.37µm
_09091_,313.33µm
keymem.prev_key1_reg\[26\],313.29µm
net537,313.07µm
enc_block.block_w3_reg\[11\],312.82µm
_09646_,312.64µm
clknet_5_17__leaf_clk,312.52µm
_04575_,312.07µm
_02606_,312.02µm
net534,311.755µm
_03121_,311.66µm
_03344_,311.34µm
_02869_,311.085µm
_04841_,310.8µm
_11754_,310.71µm
dec_block.block_w3_reg\[10\],310.51µm
_07971_,310.43µm
keymem.prev_key1_reg\[4\],310.29µm
_08263_,310.14µm
dec_block.block_w3_reg\[20\],309.88µm
net100,309.76µm
_10442_,309.18µm
net485,309.18µm
_11210_,308.93µm
_02652_,308.9µm
_11192_,308.88µm
_09155_,308.64µm
_10618_,308.42µm
net415,308.16µm
_11109_,307.64µm
_03613_,307.34µm
_09153_,307.02µm
enc_block.block_w1_reg\[30\],306.72µm
_04412_,306.64µm
_07970_,305.97µm
keymem.prev_key1_reg\[0\],305.91µm
_09246_,305.89µm
_09788_,305.13µm
net181,305.09µm
net560,305µm
_04763_,304.98µm
enc_block.block_w2_reg\[18\],304.37µm
net536,304.24µm
_06642_,304.07µm
enc_block.block_w1_reg\[13\],303.74µm
_02802_,303.67µm
enc_block.block_w3_reg\[6\],303.64µm
_03981_,303.38µm
_03860_,302.74µm
_04668_,302.44µm
_07863_,301.94µm
_08123_,301.875µm
_09192_,301.765µm
_03769_,301.53µm
_04288_,301.52µm
_03544_,301.49µm
_03733_,300.95µm
net610,300.89µm
net295,300.8µm
_02819_,300.77µm
_09806_,300.56µm
_11997_,300.55µm
net428,300.5µm
_09120_,300.45µm
_09379_,300.28µm
_07987_,300.13µm
_04786_,300.005µm
_09800_,299.88µm
net379,299.755µm
_11228_,299.73µm
_02860_,299.64µm
_11220_,299.62µm
net15,299.34µm
_04740_,299.3µm
_04808_,299.1µm
_09207_,299.08µm
net88,298.74µm
_09165_,298.47µm
_11119_,298.215µm
_02785_,298.12µm
_09648_,298µm
_02974_,297.94µm
_02835_,297.84µm
_11029_,297.72µm
_08289_,297.3µm
net103,297µm
_10734_,296.92µm
net380,296.4µm
_08041_,296.36µm
_11937_,296.33µm
_09129_,296.29µm
_11054_,296.24µm
net126,296.22µm
_06843_,295.93µm
_10466_,295.86µm
_09815_,295.76µm
net441,295.68µm
net708,295.39µm
_09157_,295.38µm
net363,295.3µm
_11936_,294.9µm
net452,294.84µm
_09181_,294.52µm
net637,294.15µm
_08183_,294.08µm
_03435_,293.78µm
_11086_,293.5µm
_06409_,293.38µm
net143,293.32µm
net546,293.26µm
_09724_,293.1µm
_08181_,293.09µm
net314,293.06µm
_07907_,292.965µm
_09791_,292.92µm
_10854_,292.69µm
_05994_,292.53µm
_06836_,291.99µm
_10721_,291.93µm
_11316_,291.51µm
_09166_,291.36µm
_10629_,291.25µm
_02713_,291.23µm
enc_block.block_w1_reg\[21\],291.08µm
keymem.prev_key1_reg\[3\],290.94µm
enc_block.block_w1_reg\[20\],290.77µm
net339,290.56µm
_04175_,290.49µm
_02784_,290.385µm
_03591_,290.38µm
net636,290.3µm
net164,290.22µm
_07974_,290.04µm
_09117_,289.98µm
_08179_,289.915µm
_11457_,289.9µm
clknet_5_16__leaf_clk,289.8µm
_02595_,289.2µm
_10584_,289.17µm
_10223_,289.1µm
_04026_,288.83µm
_02796_,288.79µm
_07962_,288.72µm
_02586_,288.65µm
_05156_,288.26µm
net102,288.2µm
_03796_,288.15µm
_02759_,288.06µm
_04793_,287.88µm
_11838_,287.88µm
net436,287.75µm
_03149_,287.5µm
_05948_,287.49µm
net357,287.28µm
_04585_,287.27µm
_03869_,286.92µm
net272,286.9µm
_03825_,286.745µm
_03668_,286.64µm
_09077_,286.455µm
enc_block.block_w1_reg\[11\],286.06µm
_07901_,285.5µm
_09828_,285.13µm
net498,285.09µm
net298,284.985µm
_04772_,284.89µm
net403,284.4µm
_09805_,284.395µm
_03804_,284.33µm
_10314_,284.31µm
_10603_,284.28µm
net421,284.18µm
net58,284.16µm
net414,284.1µm
_10439_,284.08µm
_11182_,283.54µm
net550,283.455µm
_03554_,283.42µm
_11481_,283.15µm
net352,283.02µm
net522,282.85µm
_11259_,282.42µm
_09224_,282.28µm
_06333_,282.15µm
_02813_,282µm
_02553_,281.615µm
net416,281.58µm
_04678_,281.57µm
_08217_,281.35µm
_09172_,281.26µm
_09821_,281.2µm
net532,281.04µm
_08021_,280.69µm
net370,280.65µm
_04214_,280.57µm
_02767_,280.42µm
net27,280.38µm
_10645_,280.34µm
_04773_,280.22µm
_03698_,280.02µm
_03855_,280µm
_11263_,279.84µm
_08236_,279.77µm
enc_block.block_w1_reg\[12\],279.72µm
net471,279.56µm
_02694_,279.47µm
_11280_,279.34µm
_03805_,279.1µm
_08201_,279.08µm
_10783_,278.74µm
_11143_,278.64µm
enc_block.block_w1_reg\[7\],278.54µm
net320,278.18µm
dec_block.block_w3_reg\[8\],277.85µm
net420,277.8µm
_02663_,277.61µm
_09612_,277.6µm
net115,276.96µm
net276,276.94µm
_03743_,276.88µm
_09189_,276.71µm
enc_block.block_w3_reg\[14\],276.53µm
_02631_,276.14µm
net633,275.84µm
keymem.prev_key1_reg\[5\],275.46µm
_08818_,275.04µm
net434,275.02µm
_02642_,274.82µm
_09909_,274.755µm
_04748_,274.71µm
_02752_,274.66µm
_02772_,274.465µm
enc_block.block_w3_reg\[13\],274.42µm
_09188_,274.41µm
net96,274.38µm
net110,274.36µm
dec_block.block_w0_reg\[2\],274.115µm
_08066_,274.1µm
net178,274.09µm
_03741_,273.94µm
_03454_,273.88µm
_03622_,273.38µm
net282,273.24µm
net333,273.23µm
_11087_,273.01µm
clknet_5_23__leaf_clk,272.93µm
net433,272.57µm
net474,272.55µm
_02773_,272.46µm
_11252_,271.87µm
_03899_,271.8µm
_04840_,271.69µm
_09162_,271.67µm
_08343_,271.625µm
_11197_,271.62µm
dec_block.block_w3_reg\[6\],271.54µm
